Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
174,8764,NES,Cool World,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/ca/Cool_World_NES.jpg,,$54.22,$159.99,1,1993-06-01
175,12142,NES,Cowboy Kid,Action & Adventure,https://image.gamevaluenow.com/nes/cowboy_kid.jpg,,$229.99,$471.99,1,1992-01-01
176,12143,NES,Crash 'n' the Boys: Street Challenge,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/2/2a/Crash_N_the_Boys_Street_Challenge_NES_box_art.jpg,,$28.22,$76.14,1,1992-10-01
177,8786,NES,Crystal Mines,Action & Adventure,https://www.mobygames.com/images/covers/l/14569-crystal-mines-nes-front-cover.jpg,,$21.99,$47.22,1,1989-01-01
178,12144,NES,Crystalis,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/9/9b/Crystalisboxart.jpg,,$14.66,$43.54,1,1990-07-01
179,8794,NES,Cyberball,Sports,https://upload.wikimedia.org/wikipedia/en/1/12/Cyberball_Cover.jpg,,$11.56,$21.22,1,1992-01-01
180,8796,NES,Cybernoid The Fighting Machine,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/d/d2/Cybernoid_computer_game_cover.jpg,,$4.78,$14.57,1,1989-12-01
181,12145,NES,Cyberstadium Series Base Wars,Sports,https://www.mobygames.com/images/covers/l/29799-base-wars-cyber-stadium-series-nes-front-cover.jpg,,$4.39,$17.99,1,1991-01-01
182,8801,NES,Dance Aerobics,Other,https://www.mobygames.com/images/covers/l/247172-dance-aerobics-nes-front-cover.jpg,,$4.81,$13.80,1,1989-03-01
183,8804,NES,Danny Sullivan's Indy Heat,Racing,https://www.mobygames.com/images/covers/l/247318-danny-sullivan-s-indy-heat-nes-front-cover.jpg,,$17.47,$34.98,1,1992-08-01
184,8808,NES,Darkman,Action & Adventure,https://www.mobygames.com/images/covers/l/247317-darkman-nes-front-cover.jpg,,$17.99,$42.18,1,1991-10-01
185,8810,NES,Darkwing Duck,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/c/c3/Darkwing_Duck_NES_Cover.png,,$35.61,$99.99,1,1992-06-01
186,12146,NES,Dash Galaxy in the Alien Asylum,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/d/da/DashGalaxyBoxart.jpg,,$3.56,$16.08,1,1990-02-01
187,8817,NES,Day Dreamin' Davey,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a2/DayDreaminDaveyNES.jpg,,$15.00,$38.63,1,1992-07-01
188,8818,NES,Days Of Thunder,Racing,https://upload.wikimedia.org/wikipedia/en/8/8b/Days_of_Thunder_cover_art_%28NES%29.jpg,,$5.60,$13.88,1,1990-10-01
189,12147,NES,Deadly Towers,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/f3/Deadly_Towers_boxart.png,,$4.47,$15.00,1,1987-09-01
190,38022,NES,Deadly Towers [5 Screw],Action & Adventure,https://upload.wikimedia.org/wikipedia/en/f/f3/Deadly_Towers_boxart.png,,$20.75,$50.00,1,1987-09-01
191,12148,NES,Death Race,Racing,https://upload.wikimedia.org/wikipedia/en/d/d8/DeathRaceBoxShotNES.jpg,,$36.45,$73.80,1,1991-01-01
192,12149,NES,Deathbots,Action & Adventure,https://www.mobygames.com/images/covers/l/42366-deathbots-nes-front-cover.jpg,,$17.67,$39.99,1,1990-01-01
193,12150,NES,Defender II,Action & Adventure,https://server.emulator.games/images/nintendo/defender-2.jpg,,$5.70,$15.49,1,1988-07-01
194,12151,NES,Defender of the Crown,Action & Adventure,https://www.mobygames.com/images/covers/l/247326-defender-of-the-crown-nes-front-cover.jpg,,$5.26,$15.99,1,1989-07-01
195,8836,NES,Defenders of Dynatron City,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/1/1e/Defenders_of_Dynatron_City_Cover.jpg,,$28.00,$61.00,1,1992-07-01
