Id,SystemId,Title,Genre, CoverURL, Upc
8841,NES,Die Hard,Action & Adventure
12159,NES,Dig Dug II: Trouble in Paradise,Action & Adventure
12160,NES,Digger T Rock,Action & Adventure
12161,NES,Dirty Harry,Action & Adventure
39508,NES,Dizzy the Adventurer,Puzzle
21555,NES,Dogbone Controller,Controllers
11985,NES,Donkey Kong,Action & Adventure
12163,NES,Donkey Kong 3,Action & Adventure
37986,NES,Donkey Kong 3 [5 Screw],Action & Adventure
12164,NES,Donkey Kong Classics,Action & Adventure
11986,NES,Donkey Kong Jr,Action & Adventure
11987,NES,Donkey Kong Jr Math,Other
37968,NES,Donkey Kong Jr Math [5 Screw],Action & Adventure
37985,NES,Donkey Kong Jr [5 Screw],Action & Adventure
37984,NES,Donkey Kong [5 Screw],Action & Adventure
12167,NES,Double Dare,Action & Adventure
12207,NES,Double Dragon,Action & Adventure
12208,NES,Double Dragon II,Action & Adventure
12209,NES,Double Dragon III,Action & Adventure
11988,NES,Double Dribble,Basketball
38023,NES,Double Dribble [5 Screw],Basketball
12210,NES,Double Strike,Action & Adventure
12211,NES,Dr Chaos,Action & Adventure
12212,NES,Dr Jekyll and Mr Hyde,Action & Adventure
8859,NES,Dr. Mario,Puzzle
8864,NES,Dragon Fighter,Action & Adventure
12213,NES,Dragon Power,Action & Adventure
12214,NES,Dragon Spirit,Action & Adventure
12216,NES,Dragon Warrior,RPG
12215,NES,Dragon Warrior II,RPG
8868,NES,Dragon Warrior III,RPG
8869,NES,Dragon Warrior IV,RPG
12217,NES,Dragon's Lair the Legend,Action & Adventure
12218,NES,Duck Hunt,Other
37976,NES,Duck Hunt [5 Screw],Action & Adventure
12219,NES,Duck Tales,Action & Adventure
8878,NES,Duck Tales 2,Action & Adventure
34156,NES,Duck Tales Gold Cartridge,Action & Adventure
12220,NES,Dudes with Attitude,Action & Adventure
12221,NES,Dungeon Magic,RPG
12222,NES,Dusty Diamond's All-Star Softball,Baseball
8889,NES,Dynowarz The Destruction of Spondylus,Action & Adventure
11989,NES,Elevator Action,Puzzle
38017,NES,Elevator Action [5 Screw],Action & Adventure
8906,NES,Eliminator Boat Duel,Racing
11990,NES,Excitebike,Racing
37977,NES,Excitebike [5 Screw],Racing
12223,NES,Exodus Journey to the Promised Land,RPG
8928,NES,F-117A Stealth Fighter,Other
19760,NES,F-15 City War,Action & Adventure
8929,NES,F-15 Strike Eagle,Action & Adventure
8935,NES,Family Feud,Other
45059,NES,Family Fun Fitness Pad,Controllers
12224,NES,Family Fun Fitness Stadium Events,Sports
12225,NES,Fantastic Adventures of Dizzy,Action & Adventure
39521,NES,Fantastic Adventures of Dizzy [Aladdin],Action & Adventure
12226,NES,Fantasy Zone,Action & Adventure
8939,NES,Faria,RPG
13717,NES,Faxanadu,Action & Adventure
8948,NES,Felix the Cat,Action & Adventure
8949,NES,Ferrari Grand Prix Challenge,Racing
8950,NES,Fester's Quest,Action & Adventure
8970,NES,Final Fantasy,RPG
8975,NES,Fire 'N Ice,Puzzle
12229,NES,Firehawk,Action & Adventure
12230,NES,Fisher Price I Can Remember,Other
12231,NES,Fisher Price Perfect Fit,Other
8976,NES,Fisher-Price Firehouse Rescue,Action & Adventure
12232,NES,Fist of the North Star,Fighting
8981,NES,Flight of the Intruder,Action & Adventure
13107,NES,Flintstones Surprise at Dinosaur Peak,Action & Adventure
8983,NES,Flintstones The Rescue of Dino and Hoppy,Action & Adventure
12234,NES,Flying Dragon,Action & Adventure
12235,NES,Flying Warriors,Action & Adventure
14550,NES,Formula One Built To Win,Racing
12236,NES,Frankenstein the Monster Returns,Action & Adventure
12237,NES,Freedom Force,Action & Adventure
12238,NES,Friday the 13th,Action & Adventure
12239,NES,Fun House,Action & Adventure
12240,NES,G.I. Joe: A Real American Hero,Action & Adventure
9034,NES,GI Joe The Atlantis Factor,Action & Adventure
32330,NES,Galactic Crusader,Action & Adventure
11991,NES,Galaga: Demons of Death,Other
12242,NES,Galaxy 5000,Action & Adventure
52012,NES,Galf,Sports
52013,NES,Galf [White],Sports
13192,NES,Game Genie,Accessories
37040,NES,Game Genie Top Loader Adaptor,Accessories
9012,NES,Gargoyle's Quest II The Demon Darkness,Action & Adventure
12243,NES,Gauntlet,Action & Adventure
9013,NES,Gauntlet II,Action & Adventure
39511,NES,Gauntlet [Gray Cart],Action & Adventure
9018,NES,Gemfire,Strategy
12244,NES,Genghis Khan,Action & Adventure
9025,NES,George Foreman's KO Boxing,Sports
9029,NES,Ghost Lion,RPG
12245,NES,Ghostbusters,Action & Adventure
9032,NES,Ghostbusters II,Action & Adventure
11992,NES,Ghosts 'n Goblins,Action & Adventure
37998,NES,Ghosts 'n Goblins [5 Screw],Action & Adventure
9033,NES,Ghoul School,Action & Adventure
12247,NES,Gilligan's Island,Action & Adventure
12248,NES,Goal,Soccer
9039,NES,Goal Two,Soccer
12249,NES,Godzilla,Action & Adventure
9042,NES,Godzilla 2,Strategy
9045,NES,Gold Medal Challenge '92,Sports
9050,NES,Golf,Sports
9051,NES,Golf Grand Slam,Sports
37969,NES,Golf [5 Screw],Sports
12250,NES,Golgo 13 Top Secret Episode,Action & Adventure
12251,NES,Gotcha,Action & Adventure
39516,NES,Gotcha [5 Screw],Action & Adventure
11993,NES,Gradius,Other
37999,NES,Gradius [5 Screw],Other
9063,NES,Great Waldo Search,Puzzle
9068,NES,Greg Norman's Golf Power,Sports
12252,NES,Gremlins 2,Action & Adventure
12253,NES,Guerrilla War,Action & Adventure
12254,NES,Gumshoe,Action & Adventure
37990,NES,Gumshoe [5 Screw],Other
12255,NES,Gun-Nac,Action & Adventure
12256,NES,Gun.Smoke,Action & Adventure
12257,NES,Gyromite,Action & Adventure
37970,NES,Gyromite [5 Screw],Other
37958,NES,Gyromite [ROB Bundle],Action & Adventure
12258,NES,Gyruss,Action & Adventure
12259,NES,Harlem Globetrotters,Basketball
9097,NES,Hatris,Puzzle
12260,NES,Heavy Barrel,Action & Adventure
12261,NES,Heavy Shreddin',Action & Adventure
9109,NES,High Speed,Arcade
12262,NES,Hogan's Alley,Other
37971,NES,Hogan's Alley [5 Screw],Other
9115,NES,Hollywood Squares,Other
9117,NES,Home Alone,Action & Adventure
9119,NES,Home Alone 2 Lost In New York,Action & Adventure
9121,NES,Hook,Action & Adventure
12263,NES,Hoops,Basketball
14931,NES,Hot Slots,Action & Adventure
9132,NES,Hudson Hawk,Action & Adventure
9133,NES,Hunt for Red October,Action & Adventure
12264,NES,Hydlide,Action & Adventure
11994,NES,Ice Climber,Action & Adventure
37972,NES,Ice Climber [5 Screw],Action & Adventure
11995,NES,Ice Hockey,Sports
12265,NES,Ikari Warriors,Action & Adventure
12266,NES,Ikari Warriors II,Action & Adventure
12267,NES,Ikari Warriors III,Action & Adventure
38008,NES,Ikari Warriors [5 Screw],Action & Adventure
12268,NES,Image Fight,Fighting
9138,NES,Immortal,RPG
12269,NES,Impossible Mission II,Action & Adventure
44966,NES,Impossible Mission II [AVE],Action & Adventure
39510,NES,Impossible Mission II [SEI],Action & Adventure
9143,NES,Incredible Crash Dummies,Action & Adventure
12270,NES,Indiana Jones and the Last Crusade,Action & Adventure
30748,NES,Indiana Jones and the Last Crusade [Ubisoft],Action & Adventure
12271,NES,Indiana Jones and the Temple of Doom,Action & Adventure
39513,NES,Indiana Jones and the Temple of Doom [Tengen],Action & Adventure
12272,NES,Infiltrator,Action & Adventure
12274,NES,Iron Sword Wizards and Warriors II,RPG
12273,NES,Iron Tank,Action & Adventure
12275,NES,Isolated Warrior,Action & Adventure
9155,NES,Jack Nicklaus Golf,Sports
12276,NES,Jackal,Action & Adventure
12277,NES,Jackie Chan's Action Kung Fu,Action & Adventure
9161,NES,James Bond Jr,Action & Adventure
12278,NES,Jaws,Action & Adventure
39519,NES,Jaws [5 Screw],Action & Adventure
9169,NES,Jeopardy,Other
9170,NES,Jeopardy 25th Anniversary,Other
9172,NES,Jeopardy Jr,Other
9176,NES,Jetsons Cogswell's Caper,Action & Adventure
9177,NES,Jimmy Connors Tennis,Sports
9179,NES,Joe and Mac,Action & Adventure
12279,NES,John Elway's Quarterback,Football
12280,NES,Jordan vs Bird One on One,Basketball
12281,NES,Joshua: The Battle of Jericho,Action & Adventure
12282,NES,Journey to Silius,Action & Adventure
12283,NES,Joust,Action & Adventure
9190,NES,Jurassic Park,Action & Adventure
12284,NES,Kabuki Quantum Fighter,Fighting
12285,NES,Karate Champ,Fighting
39518,NES,Karate Champ [5 Screw],Sports
12286,NES,Karnov,Action & Adventure
9204,NES,Kick Master,Action & Adventure
12287,NES,Kickle Cubicle,Action & Adventure
11996,NES,Kid Icarus,Action & Adventure
38010,NES,Kid Icarus [5 Screw],Action & Adventure
9205,NES,Kid Klown in Night Mayor World,Action & Adventure
12288,NES,Kid Kool,Action & Adventure
12289,NES,Kid Niki Radical Ninja,Action & Adventure
38041,NES,Kid Niki Radical Ninja [5 Screw],Action & Adventure
16437,NES,King Neptune's Adventure,Action & Adventure
12290,NES,King of Kings,RPG
9212,NES,King's Knight,Strategy
12291,NES,King's Quest V,RPG
12292,NES,Kings of the Beach,Sports
9213,NES,Kirby's Adventure,Action & Adventure
12293,NES,Kiwi Kraze,Action & Adventure
12294,NES,Klash Ball,Sports
12295,NES,Klax,Puzzle
12296,NES,Knight Rider,Racing
12297,NES,Krazy Kreatures,Action & Adventure
12298,NES,Krion Conquest,Action & Adventure
9217,NES,Krusty's Fun House,Puzzle
12299,NES,Kung Fu,Fighting
12300,NES,Kung Fu Heroes,Fighting
37973,NES,Kung Fu [5 Screw],Action & Adventure
9242,NES,L'Empereur,Strategy
9222,NES,Laser Invasion,Action & Adventure
19472,NES,Laserscope,Accessories
9224,NES,Last Action Hero,Action & Adventure
12301,NES,Last Starfighter,Action & Adventure
12302,NES,Lee Trevino's Fighting Golf,Sports
12303,NES,Legacy of the Wizard,RPG
